Title,Release Year,Locations,Production Company,Director,Writer,Actor 1
The Dead Pool,1988,Pierce St. & Golden Gate Avenue (Hayes Valley),Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,Pierce & California Streets (Pacific Heights),Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,Pier 3 (The Embarcadero),Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,New Asia Restaurant (772 Pacific Avenue at Grant),Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,"Nam Yuen Restaurant (740 Washington Street, Chinatown)",Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,"Mirant Energy, LLC (1301 Illinois Street, The Dogpatch)",Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,McAllister & Scott Streets (Hayes Valley),Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,"KGO-TV ABC7 TV Studios (900 Front Street, Waterfront Historic District)",Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,Hall of Justice (850 Bryant Street),Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,"San Francisco National Military Cemetery (Lincoln Blvd., The Presidio, Golden Gate National Recreation Center)",Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,"Silver Restaurant (737 Washington Street, Chinatown)",Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,Fremont Street Exit of Bay Bridge,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,Folsom & Essex Streets,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,"Eber Electronics (2355 Market Street, Castro)",Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,Clementina & Sumner Streets,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,Carl & Cole Streets (Cole Valley),Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,710 Steiner Street (Hayes Valley),Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,550 El Camino Del Mar (Seacliff),Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,23rd & Iowa Streets (Dogpatch),Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,22nd Bet. Carolina & Rhode Island Streets (Potrero Hill),Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,22nd & Wisconsin Streets (Potrero Hill),Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,20th & De Haro Streets (Potrero Hill),Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,1954 Mason Street (North Beach),Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Dead Pool,1988,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood
The Presidio,1988,Washington Street & Waverly Place (Chinatown),Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery
The Presidio,1988,Sansome Street (The Embarcadero),Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery
The Presidio,1988,Presidio (Golden Gate National Recreation Area),Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery
The Presidio,1988,Montgomery & Vallejo Streets (Telegraph Hill),Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery
The Presidio,1988,Market & 2nd Streets,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery
The Presidio,1988,Hayes & Polk Streets (Civic Center),Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery
The Presidio,1988,Golden Gate Bridge,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery
The Presidio,1988,"Fort Point (Presidio, Golden Gate National Recreation Area)",Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery
The Presidio,1988,Ferry Building,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery
The Presidio,1988,Coit Tower,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery
The Presidio,1988,Civic Center Plaza,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery
The Presidio,1988,Battery Street (The Embarcadero),Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery
The Presidio,1988,900 Block of Grant Avenue (Chinatown),Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery
The Presidio,1988,700 Block of Jackson Street (Chinatown),Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery
The Presidio,1988,200 Block of Sansome Street (Financial District),Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery
Tucker: The Man and His Dream,1988,City Hall,Lucasfilm,Francis Ford Coppola,Arnold Schulman,Jeff Bridges
Casualties of War,1989,Mission Dolores Park (Mission District) via J-Church MUNI Train,Columbia Pictures Corporation,Brian DePalma,Daniel Lang,Michael J. Fox
Common Threads: Stories From the Quilt,1989,The Castro,Home Box Office (HBO),Rob Epstein,Jeffrey Friedman,Sara Lewinstein
Fat Man and Little Boy,1989,"Postcard Row (Alamo Square, Hayes Valley)",Paramount Pictures,Roland Joffe,Roland Joffe,Paul Newman
Indiana Jones and the Last Crusade,1989,Administration Building (Treasure Island),Paramount Pictures,Steven Spielberg,Jeffrey Boam,Harrison Ford
Pacific Heights,1990,Texas & 19th Streets (Potrero Hill),Morgan Creek Productions,John Schlesinger,Daniel Pyne,Melanie Griffith
Pacific Heights,1990,Financial District,Morgan Creek Productions,John Schlesinger,Daniel Pyne,Melanie Griffith
Pacific Heights,1990,Chinatown,Morgan Creek Productions,John Schlesinger,Daniel Pyne,Melanie Griffith
Class Action,1991,"Mission Dolores (3321 16th Street, Mission District)",Interscope Communications,Michael Apted,Carolyn Shelby,Gene Hackman
Class Action,1991,City Hall,Interscope Communications,Michael Apted,Carolyn Shelby,Gene Hackman
Class Action,1991,Bix Restaurant (56 Gold Street),Interscope Communications,Michael Apted,Carolyn Shelby,Gene Hackman
Star Trek VI: The Undiscovered Country,1991,Golden Gate Bridge,Paramount Pictures,Nicholas Meyer,Nimoy,William Shatner
Until the End of the World,1991,"Tosca Café (242 Columbus Avenue, North Beach)",Village Roadshow Pictures,Wim Wenders,Wim Wenders,Solveig Dommartin
Basic Instinct,1992,Yerba Buena Center for the Arts,Carolco Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas
Basic Instinct,1992,Transbay Terminal (Mission Street at 1st Street),Carolco Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas
Basic Instinct,1992,Tosca Café (242 Columbus Avenue),Carolco Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas
Basic Instinct,1992,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",Carolco Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas
Basic Instinct,1992,Raw Hide II (280 Seventh Street),Carolco Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas
Basic Instinct,1992,Pier 7 (The Embarcadero),Carolco Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas
Basic Instinct,1992,Kearney Street (Telegraph Hill),Carolco Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas
Basic Instinct,1992,Hall of Justice (850 Bryant Street),Carolco Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas
Basic Instinct,1992,2930 Vallejo Street,Carolco Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas
Basic Instinct,1992,Chinatown,Carolco Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas
Basic Instinct,1992,Gibb Street (Chinatown),Carolco Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas
Basic Instinct,1992,1158-70 Montgomery Street,Carolco Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas
Basic Instinct,1992,2104 Broadway,Carolco Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas
Final Analysis,1992,"Westin St. Francis Hotel (335 Powell Street, Union Square)",Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere
Final Analysis,1992,"Public Health Service Hospital (Presidio, Golden Gate National Recreation Area)",Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere
Final Analysis,1992,"Presidio, Golden Gate National Recreation Area",Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere
Final Analysis,1992,City Hall,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere
Final Analysis,1992,Bix Restaurant (56 Gold Street),Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere
Memoirs of an Invisible Man,1992,St. Elizabeth Apartment House (901 Powell Street at Sacramento),Warner Bros. Pictures,John Carpenter,Robert Collector,Chevy Chase
Sister Act,1992,"St. Paul's Church (Church Street, Noe Valley)",Touchstone Pictures,Emile Ardolino,Joseph Howard,Whoopi Goldberg
Sneakers,1992,The Embarcadero,Universal Pictures,Phil Alden Robinson,Walter Parkes,Sydney Poitier
Sneakers,1992,Hills Brothers Plaza (The Embarcadero at Harrison),Universal Pictures,Phil Alden Robinson,Walter Parkes,Sydney Poitier
Vegas in Space,1992,Project Artaud (Florida Street),Troma Entertainment,Phillip R. Ford,Doris Fish,Doris Fish
Vegas in Space,1992,Corona Heights Park,Troma Entertainment,Phillip R. Ford,Doris Fish,Doris Fish
Vegas in Space,1992,544 Natoma (SOMA),Troma Entertainment,Phillip R. Ford,Doris Fish,Doris Fish
Vegas in Space,1992,422 Oak Street at Laguna,Troma Entertainment,Phillip R. Ford,Doris Fish,Doris Fish
Vegas in Space,1992,3567 18th Street,Troma Entertainment,Phillip R. Ford,Doris Fish,Doris Fish
Vegas in Space,1992,Under Highway 101 (near Potrero and Cesar Chavez Streets),Troma Entertainment,Phillip R. Ford,Doris Fish,Doris Fish
Fearless,1993,400 Montgomery Street,Spring Creek Productions,Peter Weir,Rafael Yglesias,Jeff Bridges
Fearless,1993,Folsom Street & Embarcadero,Spring Creek Productions,Peter Weir,Rafael Yglesias,Jeff Bridges
Fearless,1993,Varennes Alley between Filbert and Union,Spring Creek Productions,Peter Weir,Rafael Yglesias,Jeff Bridges
Fearless,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Spring Creek Productions,Peter Weir,Rafael Yglesias,Jeff Bridges
Fearless,1993,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",Spring Creek Productions,Peter Weir,Rafael Yglesias,Jeff Bridges
Fearless,1993,Kohl Building (400 Montgomery Street),Spring Creek Productions,Peter Weir,Rafael Yglesias,Jeff Bridges
Fearless,1993,Bank of America Building (555 California Street),Spring Creek Productions,Peter Weir,Rafael Yglesias,Jeff Bridges
Fearless,1993,90 Gold Street,Spring Creek Productions,Peter Weir,Rafael Yglesias,Jeff Bridges
Fearless,1993,5th and Beale Streets,Spring Creek Productions,Peter Weir,Rafael Yglesias,Jeff Bridges
Heart and Souls,1993,Stockton Tunnel (Stockton Street at Sutter Street),Universal Pictures,Tomas Gislason,Tomas Gislason,Jorgen Leth
Heart and Souls,1993,2810 Pacific Avenue,Universal Pictures,Tomas Gislason,Tomas Gislason,Jorgen Leth
Heart and Souls,1993,War Memorial Opera House (401 Van Ness Avenue),Universal Pictures,Tomas Gislason,Tomas Gislason,Jorgen Leth
Heart and Souls,1993,Conservatory of Flowers (Golden Gate Park),Universal Pictures,Tomas Gislason,Tomas Gislason,Jorgen Leth
Joy Luck Club,1993,Hang Ah Alley (Chinatown),Hollywood Pictures,Wayne Wang,Amy Tan,Kieu Chinh
Joy Luck Club,1993,Horace Mann School (3351 23rd Street),Hollywood Pictures,Wayne Wang,Amy Tan,Kieu Chinh
Joy Luck Club,1993,901 Union Street,Hollywood Pictures,Wayne Wang,Amy Tan,Kieu Chinh
Joy Luck Club,1993,610 Rhode Island Street (Potrero Hill),Hollywood Pictures,Wayne Wang,Amy Tan,Kieu Chinh
Joy Luck Club,1993,375 Laguna Honda Blvd.,Hollywood Pictures,Wayne Wang,Amy Tan,Kieu Chinh
Joy Luck Club,1993,180 Manchester Street,Hollywood Pictures,Wayne Wang,Amy Tan,Kieu Chinh
Mrs. Doubtfire,1993,1200 Washington Street at Taylor Street,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams
Mrs. Doubtfire,1993,Hancock School (940 Filbert Street),Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams
Mrs. Doubtfire,1993,Danilo's Bakery (Green Street & Bannam Place),Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams
Mrs. Doubtfire,1993,Chrissy Field,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams
Mrs. Doubtfire,1993,520-522A Green Street at Grant Street,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams
Mrs. Doubtfire,1993,516 Green Street,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams
Mrs. Doubtfire,1993,100 Embarcadero Street,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams
Sister Act 2: Back in the Habit,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Touchstone Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg
Sister Act 2: Back in the Habit,1993,"Maritime Museum, Building 201 (Fort Mason)",Touchstone Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg
Sister Act 2: Back in the Habit,1993,Coit Tower,Touchstone Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg
Sister Act 2: Back in the Habit,1993,CCSF Alemany Campus,Touchstone Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg
Sister Act 2: Back in the Habit,1993,"Carnelian Room, Bank of America Building (555 California Street, 53rd Floor)",Touchstone Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg
So I Married an Axe Murderer,1993,Vesuvio Café (255 Columbus Avenue),TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers
So I Married an Axe Murderer,1993,Swedenborgian Church (2107 Lyon Street),TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers
So I Married an Axe Murderer,1993,St. John's Presbyterian Church (25 Lake Street),TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers
So I Married an Axe Murderer,1993,San Francisco Chronicle (901 Mission Street at 15th Street),TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers
So I Married an Axe Murderer,1993,Rocco's Corner (Columbus Street),TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers
So I Married an Axe Murderer,1993,Prudente's Italian Deli (1462 Grant Ave at Union),TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers
So I Married an Axe Murderer,1993,Fog City Diner (1300 Battery Street),TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers
So I Married an Axe Murderer,1993,Edinburgh Castle (950 Geary Street),TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers
So I Married an Axe Murderer,1993,City Light Bookstore (261 Columbus Avenue),TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers
So I Married an Axe Murderer,1993,Café Picaro 3120 16th Street,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers
So I Married an Axe Murderer,1993,Alcatraz Island,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers
So I Married an Axe Murderer,1993,"Aladdin Terrace (off of Taylor Street, Between Filbert and Union)",TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers
So I Married an Axe Murderer,1993,305 Hugo Street,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers
So I Married an Axe Murderer,1993,"1462 Grant Avenue, at Union Street",TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers
Forrest Gump,1994,Palace of Fine Arts (3301 Lyon Street),Paramount Pictures,Robert Zemeckis,Eric Roth,Tom Hanks
Getting Even with Dad,1994,California & Grant Streets,Metro-Goldwyn-Mayer (MGM),Howard Dutch,Tom S. Parker,Macaulay Culkin
Getting Even with Dad,1994,War Memorial Building (401 Van Ness Avenue),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin
Getting Even with Dad,1994,Transbay Terminal (Mission Street at 1st Street),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin
Getting Even with Dad,1994,140 Maiden Lane,Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin
Getting Even with Dad,1994,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin
Getting Even with Dad,1994,"Neiman Marcus (150 Stockton Street, Union Square)",Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin
Getting Even with Dad,1994,Mason Street at Jackson,Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin
Getting Even with Dad,1994,M.H. de Young Memorial Museum (Golden Gate Park),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin
Getting Even with Dad,1994,Embarcadero Street Station- BART,Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin
Getting Even with Dad,1994,Candlestick Park (602 Jamestown Ave.),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin
Golden Gate,1994,Ross Alley (Chinatown),American Playhouse Theatrical Films,John Madden,David Henry Hwang,Matt Dillon
Golden Gate,1994,University of California Hastings College of the Law,Metro-Goldwyn-Mayer (MGM),Howard Deutch,David Henry Hwang,Matt Dillon
Golden Gate,1994,Bush Street (between Grant & Kearny Streets),American Playhouse Theatrical Films,John Madden,David Henry Hwang,Matt Dillon
Golden Gate,1994,Buena Vista Park (Haight Street at Buena Vista),American Playhouse Theatrical Films,John Madden,David Henry Hwang,Matt Dillon
Golden Gate,1994,Golden Gate Bridge,American Playhouse Theatrical Films,John Madden,David Henry Hwang,Matt Dillon
Interview With The Vampire,1994,Ferry Building,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt
Interview With The Vampire,1994,Golden Gate Bridge,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt
Interview With The Vampire,1994,100 Market Street at 6th Street,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt
Interview With The Vampire,1994,6th Street On-ramp to Highway 280,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt
Junior,1994,2552 Hyde Street,Northern Lights Entertainment,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger
Junior,1994,United Nations Plaza (Civic Center),Northern Lights Entertainment,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger
Junior,1994,"Postcard Row (Alamo Square, Hayes Valley)",Northern Lights Entertainment,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger
Junior,1994,Hyatt Fisherman's Wharf (555 Northpoint Street),Northern Lights Entertainment,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger
Junior,1994,"Fairmont Hotel (950 Mason Street, Nob Hill)",Northern Lights Entertainment,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger
Junior,1994,Chinatown Gate,Northern Lights Entertainment,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger
Junior,1994,722 Steiner Street,Northern Lights Entertainment,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger
When a Man Loves a Woman,1994,Buena Vista Café (2765 Hyde Street),Touchstone Pictures,Luis Mandoki,Ronald Bass,Andy Garcia
When a Man Loves a Woman,1994,"Victor's Restaurant, The Westin St. Francis Hotel (335 Powell Street)",Touchstone Pictures,Luis Mandoki,Ronald Bass,Andy Garcia
When a Man Loves a Woman,1994,Spring Valley School (1451 Jackson Street),Touchstone Pictures,Luis Mandoki,Ronald Bass,Andy Garcia
When a Man Loves a Woman,1994,"International Studies Academy (993 Vermont Street, Potrero Hill)",Touchstone Pictures,Luis Mandoki,Ronald Bass,Andy Garcia
When a Man Loves a Woman,1994,Grant Street at Pacific Avenue,Touchstone Pictures,Luis Mandoki,Ronald Bass,Andy Garcia
When a Man Loves a Woman,1994,Cybelle's Pizza (1000 Bush Street),Touchstone Pictures,Luis Mandoki,Ronald Bass,Andy Garcia
When a Man Loves a Woman,1994,766 Vallejo Street at Stockton Street (North Beach),Touchstone Pictures,Luis Mandoki,Ronald Bass,Andy Garcia
When a Man Loves a Woman,1994,1521 Masonic Avenue at Piedmont Street,Touchstone Pictures,Luis Mandoki,Ronald Bass,Andy Garcia
Copycat,1995,Treasure Island,Regency Enterprises,Jon Amiel,Ann Biderman,Sigourney Weaver
Copycat,1995,Twin Peaks,Regency Enterprises,Jon Amiel,Ann Biderman,Sigourney Weaver
Copycat,1995,Sound Factory (1st and Harrison Streets),Regency Enterprises,Jon Amiel,Ann Biderman,Sigourney Weaver
Copycat,1995,"Java House (Pier 40, Embarcadero)",Regency Enterprises,Jon Amiel,Ann Biderman,Sigourney Weaver
Copycat,1995,Alta Plaza Park,Regency Enterprises,Jon Amiel,Ann Biderman,Sigourney Weaver
Copycat,1995,82 & 67 Rico Way (Marina District),Regency Enterprises,Jon Amiel,Ann Biderman,Sigourney Weaver
Jade,1995,"Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park)",Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso
Jade,1995,Fior d' Italia (601 Union Street at Stockton),Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso
Jade,1995,"Fairmont Hotel (950 Mason Street, Nob Hill)",Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso
Jade,1995,Lombard & Hyde Streets,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso
Jade,1995,Hall of Justice (850 Bryant Street),Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso
Jade,1995,Washington Square (North Beach),Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso
Jade,1995,War Memorial Opera House (401 Van Ness Avenue),Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso
Jade,1995,Sheraton Palace Hotel (639 Market Street),Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso
Jade,1995,Palace of Fine Arts,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso
Nine Months,1995,The Malloch Apartment Building (1360 Montgomery Street),1492 Pictures,Chris Columbus,Chris Columbus,Hugh Grant
Nine Months,1995,Wasteland Store (1600 Haight Street),1492 Pictures,Chris Columbus,Chris Columbus,Hugh Grant
Nine Months,1995,Star's Café (55 Golden Gate Avenue at Van Ness),1492 Pictures,Chris Columbus,Chris Columbus,Hugh Grant
Nine Months,1995,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",1492 Pictures,Chris Columbus,Chris Columbus,Hugh Grant
Nine Months,1995,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",1492 Pictures,Chris Columbus,Chris Columbus,Hugh Grant
Nine Months,1995,Pierce Street between Pacific & Green Streets,1492 Pictures,Chris Columbus,Chris Columbus,Hugh Grant
Nine Months,1995,Montgomery & Vallejo Streets,1492 Pictures,Chris Columbus,Chris Columbus,Hugh Grant
Nine Months,1995,Marathon Plaza (303 2nd Street),1492 Pictures,Chris Columbus,Chris Columbus,Hugh Grant
Nine Months,1995,Jones Street at Bush,1492 Pictures,Chris Columbus,Chris Columbus,Hugh Grant
Nine Months,1995,Jack Kerouac Alley between Columbus & Grant Streets,1492 Pictures,Chris Columbus,Chris Columbus,Hugh Grant
Nine Months,1995,Chrissy Field,1492 Pictures,Chris Columbus,Chris Columbus,Hugh Grant
Nine Months,1995,Belli Building (722 Montgomery Street at Washington),1492 Pictures,Chris Columbus,Chris Columbus,Hugh Grant
Nine Months,1995,Alamo Square,1492 Pictures,Chris Columbus,Chris Columbus,Hugh Grant
Nine Months,1995,60 Spear Street,1492 Pictures,Chris Columbus,Chris Columbus,Hugh Grant
Nine Months,1995,"101 Henry Adams Place, 4th Floor",1492 Pictures,Chris Columbus,Chris Columbus,Hugh Grant
The Net,1995,Moscone Convention Center,Columbia Pictures Corp.,Irwin Winkler,John Brancato,Sandra Bullock
The Net,1995,Montgomery & Market Streets,Columbia Pictures Corp.,Irwin Winkler,John Brancato,Sandra Bullock
Dream for an Insomniac,1996,Baker Beach,Triton Productions,Tiffanie DeBartolo,Tiffanie DeBartolo,Ione Skye
Dream for an Insomniac,1996,Elbo Room (647 Valencia Street),Triton Productions,Tiffanie DeBartolo,Tiffanie DeBartolo,Ione Skye
Homeward Bound II: Lost in San Francisco,1996,Pier 39 (Fisherman's Wharf),Walt Disney Pictures,David R. Ellis,Sheila Burnford,Michael J. Fox
Mother,1996,Golden Gate Bridge,Paramount Pictures,Albert Brooks,Albert Brooks,Albert Brooks
Mother,1996,"Fairmont Hotel (950 Mason Street, Nob Hill)",Paramount Pictures,Albert Brooks,Albert Brooks,Albert Brooks
Phenomenon,1996,Treasure Island,Touchstone Pictures,Jon Turteltaub,Gerald Dipego,John Travolta
The Fan,1996,Candlestick Park (602 Jamestown Ave.),Mandalay Entertainment,Tony Scott,Phoef Sutton,Robert De Niro
The Rock,1996,Palace of Fine Arts (3301 Lyon Street),Hollywood Pictures,Michael Bay,David Weisberg,Sean Connery
The Rock,1996,The San Francisco Bay,Hollywood Pictures,Michael Bay,David Weisberg,Sean Connery
The Rock,1996,New Russian Hill Market (1198 Pacific Avenue at Jones),Hollywood Pictures,Michael Bay,David Weisberg,Sean Connery
The Rock,1996,"Fairmont Hotel (950 Mason Street, Nob Hill)",Hollywood Pictures,Michael Bay,David Weisberg,Sean Connery
The Rock,1996,Coit Tower,Hollywood Pictures,Michael Bay,David Weisberg,Sean Connery
The Rock,1996,City Hall,Hollywood Pictures,Michael Bay,David Weisberg,Sean Connery
The Rock,1996,Alcatraz Island,Hollywood Pictures,Michael Bay,David Weisberg,Sean Connery
A Smile Like Yours,1997,75 California Street,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear
A Smile Like Yours,1997,Grace Cathedral Episcopal Church (1100 California Street),Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear
A Smile Like Yours,1997,Hills Brothers Plaza (Embarcadero at Harrison Street),Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear
A Smile Like Yours,1997,San Francisco International Airport,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear
Dream with the Fishes,1997,Pier 39,3 Ring Circus Films,Finn Taylor,Finn Taylor & Jeffrey Brown,David Arquette
Dream with the Fishes,1997,Bay Bridge,3 Ring Circus Films,Finn Taylor,Finn Taylor & Jeffrey Brown,David Arquette
Flubber,1997,Treasure Island,Walt Disney Pictures,Les Mayfield,Samuel W. Taylor,Robin Williams
George of the Jungle,1997,755 Vallejo Street,Walt Disney Pictures,Sam Weisman,Jay Ward,Brendan Fraser
